date,high,low,open,close,adjust,volume,symbol
16-06-14,8.4,8.1,8.4,8.2,7.03,180440,VIS
17-06-14,8.2,7.9,8.1,8.2,7.03,271270,VIS
18-06-14,8.2,8,8.1,8.1,6.94,532790,VIS
19-06-14,8,7.7,8,7.8,6.68,248730,VIS
20-06-14,8,7.7,7.8,7.8,6.68,79990,VIS
23-06-14,7.9,7.7,7.7,7.8,6.68,68590,VIS
24-06-14,8,7.8,7.8,8,6.86,109010,VIS
25-06-14,8,7.9,8,7.9,6.77,194950,VIS
26-06-14,8.1,7.9,7.9,8,6.86,214640,VIS
27-06-14,8,7.9,8,7.9,6.77,75790,VIS
30-06-14,8,7.8,7.9,7.8,6.68,190370,VIS
01-07-14,8,7.8,7.8,8,6.86,142570,VIS
02-07-14,8.1,7.9,8,8,6.86,297520,VIS
03-07-14,8.4,8,8.1,8.2,7.03,1527590,VIS
04-07-14,8.7,8.4,8.5,8.7,7.46,1724010,VIS
07-07-14,8.8,8.6,8.7,8.6,7.37,361870,VIS
08-07-14,8.6,8.3,8.5,8.5,7.28,607070,VIS
09-07-14,8.9,8.5,8.6,8.6,7.37,1058040,VIS
10-07-14,8.8,8.4,8.6,8.5,7.28,568250,VIS
11-07-14,8.6,8.4,8.5,8.5,7.28,307740,VIS
14-07-14,8.6,8.4,8.6,8.5,7.28,202440,VIS
15-07-14,8.7,8.5,8.7,8.6,7.37,250830,VIS
16-07-14,8.7,8.5,8.7,8.5,7.28,552650,VIS
17-07-14,8.5,8.4,8.5,8.5,7.28,102310,VIS
18-07-14,8.5,8.3,8.3,8.4,7.2,201520,VIS
21-07-14,8.5,8.2,8.5,8.2,7.03,238960,VIS
22-07-14,8.3,8,8.3,8.2,7.03,460770,VIS
23-07-14,8.2,8.1,8.2,8.1,6.94,163260,VIS
24-07-14,8.2,8,8.1,8,6.86,173800,VIS
25-07-14,8.2,7.8,8.1,7.8,6.68,335710,VIS
28-07-14,7.8,7.4,7.8,7.7,6.6,338570,VIS
29-07-14,7.8,7.6,7.7,7.7,6.6,112630,VIS
30-07-14,7.7,7.6,7.6,7.6,6.51,112810,VIS
31-07-14,7.7,7.6,7.6,7.7,6.6,174340,VIS
01-08-14,7.7,7.5,7.6,7.7,6.6,187380,VIS
04-08-14,7.8,7.6,7.7,7.8,6.68,56710,VIS
05-08-14,8.3,7.8,7.8,8.3,7.11,952170,VIS
06-08-14,8.8,8.5,8.5,8.5,7.28,1499480,VIS
07-08-14,8.8,8.3,8.5,8.8,7.54,948570,VIS
